------ Execution Data ------ 

Tamanho do Cubo: 25x25x25
N° de Células: 15625
Células Bloqueadas: 4687 (30%)
Número de Rotas (Start- Goal): 6000

 Block   ;G(n) ;Tempo (ms) 
[3,19,6]  ;  0  ;  0
[11,21,5]  ;  0  ;  0
[9,12,0]  ;  0  ;  0
[22,21,8]  ;  28  ;  67
[4,8,2]  ;  21  ;  7
[4,24,21]  ;  0  ;  0
[13,5,9]  ;  27  ;  26
[10,18,5]  ;  0  ;  0
[9,15,2]  ;  0  ;  0
[8,24,21]  ;  35  ;  43
[7,13,9]  ;  26  ;  34
[11,15,22]  ;  21  ;  8
[10,20,23]  ;  0  ;  0
[20,19,16]  ;  29  ;  23
[3,14,4]  ;  28  ;  24
[24,14,22]  ;  35  ;  51
[5,9,14]  ;  5  ;  1
[10,24,8]  ;  36  ;  31
[3,1,3]  ;  30  ;  38
[2,4,1]  ;  39  ;  66
[7,9,1]  ;  0  ;  0
[8,7,19]  ;  27  ;  17
[21,11,7]  ;  8  ;  0
[23,14,13]  ;  0  ;  0
[15,19,8]  ;  31  ;  44
[5,10,4]  ;  38  ;  78
[12,16,13]  ;  19  ;  3
[7,0,16]  ;  25  ;  27
[14,3,7]  ;  0  ;  0
[21,23,12]  ;  0  ;  0
[21,22,9]  ;  0  ;  0
[21,1,14]  ;  0  ;  0
[9,7,5]  ;  0  ;  0
[0,10,23]  ;  42  ;  92
[24,4,23]  ;  0  ;  0
[20,16,23]  ;  26  ;  12
[3,12,4]  ;  0  ;  0
[9,23,15]  ;  21  ;  9
[20,22,14]  ;  31  ;  17
[12,24,20]  ;  45  ;  135
[17,2,5]  ;  0  ;  0
[17,22,10]  ;  18  ;  3
[20,0,19]  ;  25  ;  9
[0,12,5]  ;  21  ;  9
[24,15,17]  ;  17  ;  4
[12,20,15]  ;  19  ;  7
[16,8,19]  ;  30  ;  73
[2,20,1]  ;  0  ;  0
[17,2,12]  ;  0  ;  0
[4,0,9]  ;  0  ;  0
[12,16,9]  ;  0  ;  0
[5,12,14]  ;  23  ;  16
[4,16,24]  ;  0  ;  0
[11,22,12]  ;  0  ;  0
[5,22,17]  ;  22  ;  8
[22,22,3]  ;  33  ;  20
[6,15,3]  ;  16  ;  5
[1,21,21]  ;  39  ;  124
[15,5,2]  ;  0  ;  0
[24,1,11]  ;  36  ;  61
[21,13,15]  ;  0  ;  0
[8,23,7]  ;  29  ;  32
[10,17,17]  ;  0  ;  0
[19,16,12]  ;  31  ;  53
[13,13,8]  ;  28  ;  24
[20,6,2]  ;  15  ;  5
[17,14,5]  ;  26  ;  20
[22,14,10]  ;  0  ;  0
[18,1,9]  ;  23  ;  7
[8,17,16]  ;  20  ;  9
[16,17,6]  ;  17  ;  3
[2,23,3]  ;  0  ;  0
[17,23,6]  ;  0  ;  0
[3,16,1]  ;  20  ;  5
[13,4,1]  ;  0  ;  0
[17,17,5]  ;  31  ;  64
[22,15,20]  ;  0  ;  0
[2,20,22]  ;  0  ;  0
[19,10,20]  ;  0  ;  0
[15,4,6]  ;  19  ;  7
[2,15,14]  ;  0  ;  0
[10,1,10]  ;  22  ;  11
[4,16,5]  ;  6  ;  0
[11,12,15]  ;  0  ;  0
[14,17,19]  ;  0  ;  0
[5,23,9]  ;  40  ;  86
[15,19,2]  ;  32  ;  40
[10,18,1]  ;  25  ;  15
[17,8,18]  ;  21  ;  10
[19,6,9]  ;  0  ;  0
[12,19,13]  ;  15  ;  3
[17,3,9]  ;  0  ;  0
[21,14,16]  ;  5  ;  0
[1,23,4]  ;  35  ;  26
[23,24,2]  ;  0  ;  0
[24,24,0]  ;  0  ;  0
[23,15,23]  ;  0  ;  0
[9,19,22]  ;  22  ;  6
[7,19,14]  ;  16  ;  4
[8,21,15]  ;  0  ;  0
[21,6,9]  ;  0  ;  0
[2,21,17]  ;  56  ;  270
[20,2,20]  ;  0  ;  0
[19,23,6]  ;  45  ;  151
[20,1,5]  ;  0  ;  0
[14,21,1]  ;  27  ;  18
[7,1,23]  ;  0  ;  0
[1,4,3]  ;  0  ;  0
[7,4,15]  ;  16  ;  7
[2,5,4]  ;  0  ;  0
[13,10,10]  ;  22  ;  11
[20,5,24]  ;  20  ;  9
[8,6,7]  ;  0  ;  0
[6,21,23]  ;  33  ;  34
[6,0,12]  ;  26  ;  9
[19,2,1]  ;  5  ;  0
[6,21,5]  ;  0  ;  0
[21,7,20]  ;  0  ;  0
[1,14,20]  ;  19  ;  9
[4,17,14]  ;  0  ;  0
[0,12,22]  ;  24  ;  14
[21,24,15]  ;  13  ;  1
[20,1,7]  ;  0  ;  0
[19,24,9]  ;  0  ;  0
[17,0,17]  ;  29  ;  18
[8,22,4]  ;  0  ;  0
[7,10,4]  ;  26  ;  19
[24,15,16]  ;  0  ;  0
[0,3,13]  ;  19  ;  4
[10,23,21]  ;  0  ;  0
[23,10,14]  ;  0  ;  0
[22,3,14]  ;  9  ;  1
[11,10,2]  ;  28  ;  25
[13,17,20]  ;  30  ;  18
[23,4,22]  ;  56  ;  299
[19,23,14]  ;  32  ;  40
[19,11,21]  ;  0  ;  0
[7,5,13]  ;  0  ;  0
[11,22,6]  ;  27  ;  21
[6,21,4]  ;  15  ;  3
[13,16,7]  ;  0  ;  0
[21,23,21]  ;  0  ;  0
[17,8,21]  ;  18  ;  4
[17,21,4]  ;  0  ;  0
[5,13,23]  ;  43  ;  116
[21,12,24]  ;  21  ;  11
[22,24,21]  ;  27  ;  2
[22,15,8]  ;  0  ;  0
[24,16,16]  ;  0  ;  0
[20,22,19]  ;  17  ;  5
[6,4,23]  ;  0  ;  0
[1,3,7]  ;  12  ;  1
[9,3,10]  ;  18  ;  4
[16,17,13]  ;  0  ;  0
[4,2,12]  ;  0  ;  0
[5,11,6]  ;  8  ;  1
[0,23,22]  ;  0  ;  0
[1,14,0]  ;  0  ;  0
[18,9,21]  ;  20  ;  6
[2,1,1]  ;  0  ;  0
[2,7,20]  ;  0  ;  0
[9,23,23]  ;  0  ;  0
[12,15,18]  ;  0  ;  0
[13,16,21]  ;  0  ;  0
[8,11,1]  ;  33  ;  33
[11,2,10]  ;  0  ;  0
[9,6,19]  ;  16  ;  3
[8,20,7]  ;  29  ;  30
[3,21,9]  ;  0  ;  0
[3,19,15]  ;  0  ;  0
[10,4,10]  ;  31  ;  49
[23,22,24]  ;  0  ;  0
[13,23,12]  ;  26  ;  25
[11,24,20]  ;  8  ;  1
[14,18,7]  ;  29  ;  32
[10,4,19]  ;  19  ;  10
[20,8,21]  ;  0  ;  0
[4,22,16]  ;  0  ;  0
[13,2,2]  ;  17  ;  5
[21,6,22]  ;  27  ;  15
[1,22,15]  ;  43  ;  107
[24,17,19]  ;  0  ;  0
[22,4,13]  ;  0  ;  0
[10,6,18]  ;  7  ;  0
[0,18,5]  ;  18  ;  3
[2,1,4]  ;  40  ;  34
[1,6,6]  ;  0  ;  0
[11,9,22]  ;  27  ;  8
[8,21,22]  ;  41  ;  142
[19,23,19]  ;  0  ;  0
[24,5,3]  ;  46  ;  186
[22,20,17]  ;  0  ;  0
[21,10,15]  ;  0  ;  0
[14,21,18]  ;  29  ;  14
[0,1,12]  ;  30  ;  23
[10,11,8]  ;  21  ;  8
[20,14,1]  ;  16  ;  5
[21,3,21]  ;  0  ;  0
[4,6,24]  ;  0  ;  0
[11,1,18]  ;  0  ;  0
[15,13,16]  ;  0  ;  0
[6,6,21]  ;  4  ;  0
[17,6,7]  ;  32  ;  50
[12,3,19]  ;  0  ;  0
[5,8,18]  ;  22  ;  7
[9,13,9]  ;  23  ;  9
[7,0,12]  ;  0  ;  0
[19,2,3]  ;  0  ;  0
[20,23,11]  ;  0  ;  0
[6,22,2]  ;  0  ;  0
[16,18,19]  ;  26  ;  30
[6,24,18]  ;  0  ;  0
[2,0,15]  ;  29  ;  37
[12,21,19]  ;  0  ;  0
[10,17,21]  ;  46  ;  145
[21,7,21]  ;  0  ;  0
[5,19,10]  ;  0  ;  0
[8,19,18]  ;  25  ;  20
[6,18,19]  ;  0  ;  0
[7,21,4]  ;  23  ;  13
[20,6,1]  ;  0  ;  0
[0,22,5]  ;  35  ;  72
[0,14,9]  ;  0  ;  0
[22,14,1]  ;  0  ;  0
[9,17,0]  ;  0  ;  0
[22,9,10]  ;  36  ;  66
[19,20,15]  ;  17  ;  3
[14,11,5]  ;  0  ;  0
[14,2,15]  ;  0  ;  0
[17,4,2]  ;  40  ;  82
[8,13,13]  ;  0  ;  0
[10,22,22]  ;  0  ;  0
[8,0,5]  ;  25  ;  6
[16,6,0]  ;  0  ;  0
[8,13,8]  ;  0  ;  0
[4,6,21]  ;  0  ;  0
[1,24,22]  ;  0  ;  0
[23,18,12]  ;  22  ;  7
[3,11,1]  ;  0  ;  0
[10,5,1]  ;  20  ;  7
[23,4,6]  ;  0  ;  0
[24,4,20]  ;  0  ;  0
[1,20,2]  ;  0  ;  0
[12,3,1]  ;  0  ;  0
[8,6,19]  ;  0  ;  0
[1,8,7]  ;  0  ;  0
[2,24,2]  ;  0  ;  0
[20,23,13]  ;  40  ;  74
[15,6,11]  ;  0  ;  0
[23,1,22]  ;  41  ;  41
[17,4,22]  ;  25  ;  6
[2,14,2]  ;  33  ;  51
[17,16,0]  ;  0  ;  0
[8,1,8]  ;  18  ;  3
[22,22,1]  ;  0  ;  0
[0,8,10]  ;  0  ;  0
[11,19,1]  ;  0  ;  0
[19,2,16]  ;  0  ;  0
[6,22,15]  ;  10  ;  1
[17,6,22]  ;  37  ;  60
[14,21,23]  ;  0  ;  0
[1,15,17]  ;  22  ;  17
[4,16,7]  ;  22  ;  10
[8,5,8]  ;  22  ;  9
[20,4,17]  ;  24  ;  10
[24,2,7]  ;  0  ;  0
[20,16,4]  ;  28  ;  10
[19,20,21]  ;  0  ;  0
[6,5,4]  ;  0  ;  0
[23,13,3]  ;  0  ;  0
[0,23,19]  ;  0  ;  0
[23,16,14]  ;  31  ;  43
[17,16,10]  ;  0  ;  0
[17,10,9]  ;  0  ;  0
[24,13,4]  ;  14  ;  3
[0,24,4]  ;  33  ;  21
[2,17,12]  ;  26  ;  12
[22,8,4]  ;  24  ;  9
[10,4,0]  ;  25  ;  10
[24,14,2]  ;  34  ;  70
[5,18,21]  ;  35  ;  56
[21,2,2]  ;  0  ;  0
[21,17,10]  ;  0  ;  0
[15,5,24]  ;  15  ;  4
[2,10,15]  ;  0  ;  0
[14,2,14]  ;  26  ;  28
[13,12,13]  ;  0  ;  0
[9,22,20]  ;  0  ;  0
[0,14,12]  ;  0  ;  0
[10,23,24]  ;  0  ;  0
[1,8,21]  ;  44  ;  135
[14,8,20]  ;  0  ;  0
[12,10,0]  ;  24  ;  8
[17,14,15]  ;  22  ;  10
[13,19,19]  ;  26  ;  16
[0,2,23]  ;  0  ;  0
[17,7,15]  ;  0  ;  0
[17,23,10]  ;  32  ;  22
[4,19,3]  ;  17  ;  5
[1,12,3]  ;  0  ;  0
[10,6,12]  ;  13  ;  1
[7,16,18]  ;  18  ;  4
[6,6,5]  ;  0  ;  0
[12,20,18]  ;  0  ;  0
[19,14,17]  ;  0  ;  0
[7,17,13]  ;  0  ;  0
[13,12,6]  ;  0  ;  0
[2,16,18]  ;  15  ;  2
[14,12,23]  ;  36  ;  103
[17,10,2]  ;  0  ;  0
[16,3,2]  ;  0  ;  0
[5,23,3]  ;  0  ;  0
[14,14,15]  ;  22  ;  10
[22,8,23]  ;  0  ;  0
[19,1,10]  ;  28  ;  30
[20,9,16]  ;  19  ;  8
[21,14,11]  ;  28  ;  18
[14,3,20]  ;  0  ;  0
[16,18,21]  ;  0  ;  0
[17,21,3]  ;  38  ;  96
[6,20,17]  ;  0  ;  0
[1,2,17]  ;  41  ;  65
[7,15,18]  ;  0  ;  0
[19,6,3]  ;  0  ;  0
[4,0,13]  ;  0  ;  0
[9,1,22]  ;  0  ;  0
[21,12,9]  ;  0  ;  0
[6,1,8]  ;  17  ;  6
[23,13,4]  ;  47  ;  154
[16,8,15]  ;  0  ;  0
[14,9,10]  ;  0  ;  0
