------ Execution Data ------

Tamanho do Cubo: 15x15x15
N° de Células: 3375
Células Bloqueadas: 337 (10%)
Número de Rotas (Start- Goal): 3000
 
 Block   ;G(n) ;Tempo (ms) 
[1,14,2]  ;  9  ;  2
[10,13,11]  ;  0  ;  0
[12,0,11]  ;  24  ;  37
[10,6,5]  ;  9  ;  5
[0,14,7]  ;  13  ;  6
[12,7,0]  ;  13  ;  5
[1,14,1]  ;  14  ;  5
[12,0,4]  ;  6  ;  1
[1,13,9]  ;  10  ;  2
[3,6,8]  ;  12  ;  9
[8,7,3]  ;  14  ;  12
[4,10,8]  ;  17  ;  26
[13,3,11]  ;  23  ;  50
[14,2,12]  ;  10  ;  7
[2,11,9]  ;  0  ;  0
[14,0,3]  ;  20  ;  19
[7,2,0]  ;  0  ;  0
[4,7,5]  ;  6  ;  1
[3,11,9]  ;  9  ;  5
[5,13,0]  ;  18  ;  20
[0,0,5]  ;  0  ;  0
[10,14,10]  ;  10  ;  3
[8,11,10]  ;  17  ;  33
[11,1,13]  ;  17  ;  14
[1,4,13]  ;  0  ;  0
[1,8,4]  ;  9  ;  4
[13,5,13]  ;  12  ;  10
[13,9,13]  ;  8  ;  1
[13,6,6]  ;  7  ;  1
[10,0,14]  ;  0  ;  0
[11,8,0]  ;  10  ;  2
[2,1,9]  ;  14  ;  2
[6,3,8]  ;  20  ;  30
[14,10,1]  ;  20  ;  21
[2,5,2]  ;  26  ;  70
[8,12,14]  ;  12  ;  7
[1,1,8]  ;  0  ;  0
[9,6,8]  ;  10  ;  4
[14,14,13]  ;  18  ;  8
[11,10,7]  ;  8  ;  1
[5,3,6]  ;  9  ;  3
[9,3,4]  ;  0  ;  0
[1,0,9]  ;  18  ;  17
[6,10,13]  ;  10  ;  1
[2,2,7]  ;  25  ;  69
[6,13,4]  ;  19  ;  26
[12,1,8]  ;  27  ;  93
[12,2,10]  ;  15  ;  23
[3,1,1]  ;  9  ;  2
[2,5,0]  ;  19  ;  16
[13,5,11]  ;  30  ;  138
[6,6,14]  ;  0  ;  0
[12,5,7]  ;  11  ;  5
[1,8,0]  ;  21  ;  22
[3,0,10]  ;  0  ;  0
[2,6,2]  ;  0  ;  0
[6,3,10]  ;  15  ;  11
[6,4,4]  ;  21  ;  42
[10,10,8]  ;  13  ;  11
[12,8,10]  ;  13  ;  6
[9,5,14]  ;  0  ;  0
[5,14,10]  ;  11  ;  7
[2,14,7]  ;  11  ;  5
[5,3,8]  ;  12  ;  4
[4,7,8]  ;  9  ;  3
[7,12,12]  ;  0  ;  0
[0,3,7]  ;  7  ;  2
[13,14,9]  ;  14  ;  8
[11,12,14]  ;  13  ;  11
[7,4,8]  ;  0  ;  0
[11,6,12]  ;  11  ;  8
[7,7,7]  ;  13  ;  10
[3,13,11]  ;  14  ;  12
[5,13,9]  ;  0  ;  0
[12,14,8]  ;  15  ;  10
[9,11,13]  ;  24  ;  63
[1,0,8]  ;  18  ;  24
[8,10,11]  ;  14  ;  9
[7,13,8]  ;  14  ;  11
[11,12,0]  ;  29  ;  107
[5,8,11]  ;  11  ;  6
[12,6,11]  ;  12  ;  1
[11,14,3]  ;  25  ;  69
[14,10,4]  ;  22  ;  44
[7,11,2]  ;  20  ;  32
[8,10,2]  ;  9  ;  6
[7,6,1]  ;  0  ;  0
[6,5,2]  ;  5  ;  1
[9,9,1]  ;  11  ;  4
[11,6,1]  ;  10  ;  4
[1,12,1]  ;  17  ;  28
[14,5,2]  ;  0  ;  0
[9,9,13]  ;  8  ;  2
[12,1,11]  ;  0  ;  0
[10,0,3]  ;  14  ;  7
[5,9,10]  ;  5  ;  0
[3,0,2]  ;  13  ;  7
[2,5,10]  ;  12  ;  3
[2,3,14]  ;  0  ;  0
[5,3,11]  ;  3  ;  1
[13,0,13]  ;  22  ;  22
[5,13,8]  ;  18  ;  18
[7,3,13]  ;  14  ;  12
[12,6,7]  ;  0  ;  0
[2,8,2]  ;  13  ;  9
[12,7,9]  ;  10  ;  3
[3,2,12]  ;  24  ;  49
[5,10,6]  ;  0  ;  0
[12,11,10]  ;  13  ;  9
[1,3,1]  ;  26  ;  51
[12,7,1]  ;  13  ;  2
[0,10,1]  ;  22  ;  50
[4,4,6]  ;  12  ;  4
[12,13,2]  ;  11  ;  2
[11,14,10]  ;  7  ;  2
[10,9,3]  ;  0  ;  0
[10,8,0]  ;  11  ;  5
[14,10,2]  ;  9  ;  3
[3,7,1]  ;  8  ;  3
[9,2,10]  ;  23  ;  37
[14,12,11]  ;  10  ;  4
[10,5,5]  ;  15  ;  19
[13,4,5]  ;  17  ;  14
[4,0,11]  ;  0  ;  0
[7,8,13]  ;  0  ;  0
[1,1,1]  ;  17  ;  27
[7,1,11]  ;  19  ;  35
[2,12,8]  ;  19  ;  13
[9,7,1]  ;  18  ;  18
[7,1,2]  ;  10  ;  2
[13,13,9]  ;  19  ;  17
[3,3,11]  ;  14  ;  4
[0,0,14]  ;  25  ;  59
[1,10,1]  ;  9  ;  2
[13,9,3]  ;  23  ;  71
[6,10,7]  ;  19  ;  32
[9,2,3]  ;  23  ;  76
[9,8,7]  ;  12  ;  11
[14,3,2]  ;  32  ;  157
[4,14,13]  ;  17  ;  17
[5,2,8]  ;  14  ;  6
[10,10,2]  ;  10  ;  4
[5,1,3]  ;  17  ;  28
[9,9,12]  ;  17  ;  17
[7,1,6]  ;  9  ;  4
[7,14,1]  ;  12  ;  9
[1,7,8]  ;  16  ;  34
[1,12,14]  ;  25  ;  82
[5,11,13]  ;  29  ;  99
[14,3,1]  ;  22  ;  72
[12,10,9]  ;  0  ;  0
[14,2,9]  ;  0  ;  0
[13,11,12]  ;  24  ;  83
[9,14,8]  ;  20  ;  34
[2,4,11]  ;  12  ;  8
[14,1,14]  ;  31  ;  174
[3,12,7]  ;  0  ;  0
[7,13,4]  ;  5  ;  1
[10,14,12]  ;  0  ;  0
[11,2,8]  ;  4  ;  1
[11,2,4]  ;  18  ;  19
[9,3,0]  ;  18  ;  26
[1,0,12]  ;  0  ;  0
[7,0,5]  ;  20  ;  70
[13,9,11]  ;  18  ;  37
[8,9,4]  ;  15  ;  9
[11,2,2]  ;  0  ;  0
[1,7,2]  ;  15  ;  9
[7,12,11]  ;  13  ;  3
[9,13,10]  ;  22  ;  40
[2,5,11]  ;  0  ;  0
[13,2,4]  ;  8  ;  3
[2,0,1]  ;  0  ;  0
[12,12,9]  ;  0  ;  0
[8,7,6]  ;  10  ;  3
[4,4,11]  ;  4  ;  0
[10,12,6]  ;  18  ;  31
[8,8,6]  ;  0  ;  0
[13,11,0]  ;  27  ;  118
[8,7,4]  ;  5  ;  1
[1,13,5]  ;  17  ;  24
[0,5,7]  ;  0  ;  0
[3,12,14]  ;  16  ;  5
[0,9,8]  ;  13  ;  9
[8,3,8]  ;  10  ;  2
[2,0,7]  ;  7  ;  1
[6,14,2]  ;  9  ;  3
[10,2,13]  ;  14  ;  9
[8,4,11]  ;  17  ;  21
[4,1,7]  ;  0  ;  0
[13,7,5]  ;  0  ;  0
[11,9,2]  ;  28  ;  104
[12,11,9]  ;  16  ;  15
[0,7,8]  ;  15  ;  18
[2,1,1]  ;  16  ;  14
[6,7,14]  ;  16  ;  9
[2,11,11]  ;  16  ;  7
[7,14,13]  ;  12  ;  8
[14,1,13]  ;  0  ;  0
[4,6,1]  ;  0  ;  0
[13,9,5]  ;  15  ;  16
[2,3,7]  ;  15  ;  6
[12,13,3]  ;  20  ;  25
[3,9,14]  ;  20  ;  28
[3,9,11]  ;  21  ;  46
[5,14,9]  ;  11  ;  3
[11,7,0]  ;  0  ;  0
[0,5,5]  ;  8  ;  3
[10,1,6]  ;  19  ;  25
[5,8,0]  ;  0  ;  0
[13,1,3]  ;  27  ;  83
[8,1,6]  ;  9  ;  2
[9,12,4]  ;  0  ;  0
[1,9,8]  ;  0  ;  0
[10,14,5]  ;  13  ;  9
[3,11,2]  ;  8  ;  3
[5,4,1]  ;  18  ;  14
[1,2,12]  ;  30  ;  116
[1,10,7]  ;  17  ;  17
[10,11,7]  ;  10  ;  4
[10,1,3]  ;  13  ;  2
[10,2,5]  ;  0  ;  0
[4,12,11]  ;  19  ;  30
[14,9,6]  ;  3  ;  0
[11,11,11]  ;  0  ;  0
[4,10,11]  ;  21  ;  18
[1,10,2]  ;  23  ;  68
[3,6,11]  ;  0  ;  0
[2,10,1]  ;  18  ;  27
[9,9,3]  ;  0  ;  0
[3,10,12]  ;  16  ;  11
[13,3,2]  ;  0  ;  0
[3,0,0]  ;  7  ;  2
[0,1,2]  ;  27  ;  101
[5,7,13]  ;  19  ;  31
[14,7,0]  ;  0  ;  0
[0,7,6]  ;  22  ;  52
[1,9,1]  ;  0  ;  0
[6,1,9]  ;  28  ;  87
[11,10,13]  ;  12  ;  4
[6,13,11]  ;  30  ;  125
[3,12,9]  ;  6  ;  1
[12,12,1]  ;  15  ;  10
[6,3,2]  ;  9  ;  1
[8,3,9]  ;  23  ;  57
[9,9,9]  ;  0  ;  0
[6,12,6]  ;  16  ;  11
[6,4,5]  ;  11  ;  7
[11,14,6]  ;  12  ;  7
[11,2,7]  ;  0  ;  0
[0,14,2]  ;  26  ;  118
[12,13,4]  ;  18  ;  24
[2,9,7]  ;  16  ;  32
[3,9,6]  ;  0  ;  0
[10,6,1]  ;  15  ;  18
[12,1,10]  ;  5  ;  1
[0,10,5]  ;  21  ;  57
[3,12,2]  ;  19  ;  55
[3,10,14]  ;  24  ;  47
[14,5,10]  ;  12  ;  4
[4,12,10]  ;  15  ;  10
[14,6,10]  ;  0  ;  0
[0,0,1]  ;  23  ;  54
[0,7,10]  ;  24  ;  63
[6,3,12]  ;  3  ;  0
[13,14,14]  ;  21  ;  31
[11,13,5]  ;  18  ;  23
[14,11,3]  ;  14  ;  8
[6,2,6]  ;  6  ;  2
[11,11,12]  ;  28  ;  136
[5,14,6]  ;  11  ;  6
[8,11,7]  ;  11  ;  5
[13,14,12]  ;  20  ;  27
[2,3,10]  ;  3  ;  0
[1,4,14]  ;  27  ;  113
[1,7,4]  ;  0  ;  0
[2,6,12]  ;  20  ;  29
[14,3,6]  ;  13  ;  8
[6,12,9]  ;  20  ;  22
[10,2,14]  ;  9  ;  3
[14,3,14]  ;  21  ;  16
[4,1,9]  ;  11  ;  6
[1,12,5]  ;  10  ;  5
[10,2,11]  ;  12  ;  5
[11,1,3]  ;  33  ;  106
[6,13,8]  ;  18  ;  18
[7,7,12]  ;  14  ;  6
[8,8,4]  ;  15  ;  20
[2,2,11]  ;  0  ;  0
[3,3,1]  ;  0  ;  0
[0,11,13]  ;  25  ;  50
[4,2,2]  ;  0  ;  0
[3,14,7]  ;  18  ;  29
[12,10,10]  ;  0  ;  0
[0,0,13]  ;  25  ;  60
[14,13,8]  ;  0  ;  0
[7,11,1]  ;  13  ;  11
[0,10,13]  ;  4  ;  1
[11,13,11]  ;  17  ;  23
[2,4,1]  ;  14  ;  10
[12,1,1]  ;  20  ;  43
[13,1,14]  ;  18  ;  13
[12,3,3]  ;  0  ;  0
[1,10,5]  ;  0  ;  0
[8,0,0]  ;  19  ;  39
[12,0,8]  ;  12  ;  14
[13,14,7]  ;  19  ;  24
[2,7,11]  ;  17  ;  15
[2,6,10]  ;  12  ;  8
[0,6,1]  ;  19  ;  30
[12,10,1]  ;  16  ;  11
[8,2,14]  ;  22  ;  53
[12,11,0]  ;  17  ;  18
[5,3,5]  ;  19  ;  31
[6,14,0]  ;  0  ;  0
[6,12,0]  ;  18  ;  11
[1,1,9]  ;  16  ;  9
[7,12,9]  ;  16  ;  21
[7,7,5]  ;  0  ;  0
[13,6,11]  ;  9  ;  4
[5,9,11]  ;  23  ;  71
[10,7,14]  ;  11  ;  5
[10,6,0]  ;  8  ;  2
[10,7,4]  ;  10  ;  2
[0,12,2]  ;  19  ;  19
[2,4,7]  ;  21  ;  37
[14,0,14]  ;  15  ;  6
[1,13,11]  ;  19  ;  39
[10,11,5]  ;  15  ;  21
[3,8,9]  ;  0  ;  0
[5,7,2]  ;  0  ;  0
[9,0,11]  ;  0  ;  0
[1,2,5]  ;  16  ;  28
[10,4,13]  ;  16  ;  20
[6,1,11]  ;  0  ;  0
[13,7,2]  ;  8  ;  2
[6,8,5]  ;  10  ;  4
[11,11,14]  ;  23  ;  49
[14,1,1]  ;  0  ;  0
[10,3,9]  ;  12  ;  8
[0,1,12]  ;  5  ;  1
[13,14,5]  ;  13  ;  9
[0,12,14]  ;  22  ;  62
[13,14,6]  ;  12  ;  8
[13,11,1]  ;  11  ;  1
[5,12,7]  ;  18  ;  17
[8,8,1]  ;  12  ;  4
[8,2,7]  ;  0  ;  0
[8,7,11]  ;  10  ;  3
[13,7,4]  ;  13  ;  5
[2,13,6]  ;  0  ;  0
[12,14,2]  ;  26  ;  77
[2,12,2]  ;  17  ;  25
[9,8,12]  ;  16  ;  6
[7,14,2]  ;  13  ;  11
[6,8,3]  ;  10  ;  2
[4,14,11]  ;  0  ;  0
[2,13,13]  ;  0  ;  0
[8,7,10]  ;  7  ;  2
[1,7,13]  ;  0  ;  0
[10,9,4]  ;  15  ;  13
[7,0,4]  ;  0  ;  0
[1,12,3]  ;  0  ;  0
[5,6,13]  ;  5  ;  1
[8,9,10]  ;  10  ;  3
[7,11,8]  ;  0  ;  0
[0,9,13]  ;  23  ;  36
[6,2,1]  ;  3  ;  0
[7,9,0]  ;  19  ;  10
[14,2,10]  ;  24  ;  38
[3,1,3]  ;  13  ;  8
[9,5,13]  ;  22  ;  55
[14,14,0]  ;  0  ;  0
[3,11,8]  ;  0  ;  0
[6,13,12]  ;  5  ;  1
[3,5,1]  ;  12  ;  1
[1,1,13]  ;  0  ;  0
[2,11,14]  ;  0  ;  0
[3,13,14]  ;  22  ;  33
[12,6,10]  ;  10  ;  4
[11,7,7]  ;  6  ;  2
[9,6,10]  ;  11  ;  5
[0,3,5]  ;  7  ;  3
[11,11,6]  ;  11  ;  7
[9,9,14]  ;  24  ;  58
[2,4,12]  ;  21  ;  31
[2,13,9]  ;  20  ;  34
[4,4,14]  ;  19  ;  16
[0,14,10]  ;  20  ;  31
[3,13,1]  ;  8  ;  3
[4,3,8]  ;  6  ;  2
[1,14,12]  ;  30  ;  118
[13,10,14]  ;  14  ;  10
[13,3,12]  ;  12  ;  4
[14,12,14]  ;  21  ;  27
[8,3,1]  ;  18  ;  14
[7,4,3]  ;  21  ;  51
[10,9,6]  ;  0  ;  0
[10,11,10]  ;  24  ;  74
[11,9,4]  ;  15  ;  11
[9,0,14]  ;  0  ;  0
[6,1,13]  ;  9  ;  3
[2,3,4]  ;  0  ;  0
[1,13,6]  ;  7  ;  2
[12,0,1]  ;  11  ;  2
[4,12,2]  ;  0  ;  0
[5,14,4]  ;  18  ;  29
[10,11,0]  ;  12  ;  2
[14,8,9]  ;  24  ;  37
[14,14,4]  ;  24  ;  70
[13,0,5]  ;  24  ;  56
[9,14,0]  ;  0  ;  0
[3,10,1]  ;  8  ;  1
[9,4,6]  ;  10  ;  4
[7,6,0]  ;  23  ;  51
[6,4,12]  ;  7  ;  2
[7,2,4]  ;  0  ;  0
[0,11,9]  ;  18  ;  9
[2,12,4]  ;  18  ;  20
[14,6,12]  ;  20  ;  35
[0,1,10]  ;  11  ;  2
[1,0,2]  ;  28  ;  90
[13,11,3]  ;  22  ;  50
[14,2,2]  ;  12  ;  9
[9,12,14]  ;  17  ;  25
[9,1,12]  ;  15  ;  5
[3,13,0]  ;  11  ;  7
[2,12,5]  ;  16  ;  12
[7,5,12]  ;  15  ;  15
[7,6,4]  ;  0  ;  0
[6,6,4]  ;  9  ;  4
[5,6,0]  ;  17  ;  10
[7,1,1]  ;  0  ;  0
[8,0,7]  ;  16  ;  9
[7,6,6]  ;  16  ;  18
[8,13,9]  ;  25  ;  81
[9,14,6]  ;  17  ;  28
[2,3,5]  ;  18  ;  32
[11,4,1]  ;  12  ;  7
[9,14,10]  ;  22  ;  66
[4,3,7]  ;  16  ;  15
[12,7,5]  ;  11  ;  4
