------ Execution Data ------ 

Tamanho do Cubo: 20x20x20
N° de Células: 8000
Células Bloqueadas: 2000 (25%)
Número de Rotas (Start- Goal): 5000

 Block   ;G(n) ;Tempo (ms) 
[16,7,17]  ;  0  ;  0
[6,5,8]  ;  7  ;  21
[16,19,9]  ;  0  ;  0
[8,13,9]  ;  16  ;  283
[0,16,11]  ;  0  ;  0
[5,15,17]  ;  0  ;  0
[16,5,4]  ;  26  ;  354
[14,2,18]  ;  0  ;  0
[19,10,16]  ;  8  ;  3
[2,13,13]  ;  0  ;  0
[3,1,12]  ;  0  ;  0
[12,8,19]  ;  0  ;  0
[17,3,2]  ;  14  ;  12
[9,4,18]  ;  9  ;  5
[12,3,18]  ;  0  ;  0
[0,14,15]  ;  21  ;  107
[1,14,7]  ;  0  ;  0
[14,0,17]  ;  0  ;  0
[5,18,8]  ;  20  ;  36
[18,10,11]  ;  14  ;  11
[2,1,9]  ;  31  ;  146
[1,18,2]  ;  0  ;  0
[17,9,13]  ;  21  ;  42
[0,6,4]  ;  14  ;  9
[17,17,5]  ;  17  ;  28
[6,5,1]  ;  8  ;  2
[1,11,9]  ;  13  ;  11
[2,13,12]  ;  31  ;  137
[0,1,15]  ;  6  ;  0
[10,4,12]  ;  16  ;  3
[10,6,1]  ;  0  ;  0
[5,0,2]  ;  8  ;  1
[4,18,7]  ;  0  ;  0
[8,9,10]  ;  23  ;  45
[1,7,2]  ;  0  ;  0
[19,18,13]  ;  0  ;  0
[7,7,10]  ;  0  ;  0
[8,19,12]  ;  0  ;  0
[1,8,15]  ;  26  ;  118
[17,9,8]  ;  0  ;  0
[3,10,18]  ;  20  ;  23
[18,5,19]  ;  36  ;  128
[16,15,18]  ;  24  ;  39
[7,4,12]  ;  8  ;  3
[5,14,5]  ;  17  ;  13
[16,16,8]  ;  24  ;  42
[10,18,11]  ;  11  ;  5
[8,7,15]  ;  0  ;  0
[17,2,19]  ;  0  ;  0
[3,4,15]  ;  20  ;  21
[8,5,16]  ;  0  ;  0
[18,0,7]  ;  0  ;  0
[0,12,10]  ;  17  ;  24
[18,15,16]  ;  22  ;  46
[13,17,5]  ;  0  ;  0
[5,17,5]  ;  0  ;  0
[17,19,17]  ;  0  ;  0
[6,12,12]  ;  0  ;  0
[4,4,9]  ;  22  ;  49
[1,2,2]  ;  19  ;  20
[7,10,13]  ;  18  ;  15
[14,9,4]  ;  0  ;  0
[12,9,7]  ;  16  ;  17
[19,3,5]  ;  18  ;  6
[10,12,17]  ;  8  ;  3
[13,5,3]  ;  0  ;  0
[2,8,5]  ;  9  ;  1
[4,8,10]  ;  0  ;  0
[1,18,19]  ;  0  ;  0
[10,2,0]  ;  0  ;  0
[14,4,11]  ;  0  ;  0
[9,7,16]  ;  30  ;  96
[12,6,0]  ;  0  ;  0
[14,0,10]  ;  0  ;  0
[9,7,17]  ;  0  ;  0
[19,9,7]  ;  6  ;  1
[2,19,11]  ;  0  ;  0
[6,19,10]  ;  28  ;  99
[12,17,8]  ;  29  ;  120
[0,9,18]  ;  32  ;  124
[8,10,18]  ;  31  ;  88
[16,12,12]  ;  0  ;  0
[5,4,15]  ;  0  ;  0
[5,3,1]  ;  46  ;  393
[14,3,10]  ;  10  ;  2
[5,13,13]  ;  16  ;  12
[6,13,0]  ;  21  ;  24
[7,7,8]  ;  16  ;  16
[12,8,18]  ;  23  ;  17
[3,8,2]  ;  15  ;  8
[1,6,2]  ;  0  ;  0
[3,19,1]  ;  21  ;  23
[9,3,4]  ;  0  ;  0
[16,17,7]  ;  17  ;  4
[14,6,16]  ;  0  ;  0
[15,6,13]  ;  0  ;  0
[10,6,18]  ;  0  ;  0
[12,13,19]  ;  0  ;  0
