------ Execution Data ------ 

Tamanho do Cubo: 30x30x30
N° de Células: 27000
Células Bloqueadas: 8100 (30%)
Número de Rotas (Start- Goal): 8000

 Block   ;G(n) ;Tempo (ms) 
[1,12,28]  ;  52  ;  841
[29,15,26]  ;  47  ;  486
[14,20,15]  ;  0  ;  0
[11,16,15]  ;  0  ;  0
[1,16,20]  ;  0  ;  0
[6,9,5]  ;  12  ;  5
[3,8,0]  ;  47  ;  537
[20,20,20]  ;  0  ;  0
[20,8,11]  ;  9  ;  3
[8,4,25]  ;  0  ;  0
[6,3,8]  ;  18  ;  10
[9,8,22]  ;  0  ;  0
[22,28,6]  ;  25  ;  45
[7,23,17]  ;  42  ;  479
[4,26,12]  ;  17  ;  13
[18,17,20]  ;  0  ;  0
[25,9,1]  ;  0  ;  0
[11,14,6]  ;  0  ;  0
[7,27,1]  ;  13  ;  6
[12,7,2]  ;  28  ;  82
[25,29,21]  ;  19  ;  7
[26,27,5]  ;  0  ;  0
[0,8,18]  ;  0  ;  0
[2,0,2]  ;  0  ;  0
[28,21,28]  ;  0  ;  0
[23,19,18]  ;  0  ;  0
[14,12,13]  ;  11  ;  2
[17,15,8]  ;  0  ;  0
[21,29,23]  ;  0  ;  0
[7,13,19]  ;  28  ;  55
[9,15,4]  ;  0  ;  0
[5,9,23]  ;  0  ;  0
[16,13,0]  ;  0  ;  0
[28,14,12]  ;  0  ;  0
[5,0,14]  ;  0  ;  0
[4,3,27]  ;  0  ;  0
[27,12,25]  ;  28  ;  55
[18,27,0]  ;  0  ;  0
[19,22,10]  ;  38  ;  173
[29,20,23]  ;  20  ;  15
[11,15,17]  ;  0  ;  0
[29,29,17]  ;  0  ;  0
[20,6,26]  ;  0  ;  0
[27,25,27]  ;  51  ;  227
[24,19,24]  ;  49  ;  750
[7,28,1]  ;  58  ;  1214
[6,4,2]  ;  29  ;  98
[10,22,4]  ;  24  ;  41
[16,14,13]  ;  32  ;  111
[9,7,0]  ;  0  ;  0
[22,5,13]  ;  34  ;  137
[23,23,17]  ;  35  ;  94
[28,13,25]  ;  11  ;  3
[15,17,5]  ;  16  ;  15
[14,24,7]  ;  28  ;  63
[8,5,0]  ;  0  ;  0
[20,20,25]  ;  13  ;  9
[10,10,14]  ;  0  ;  0
[26,9,20]  ;  0  ;  0
[23,17,3]  ;  35  ;  201
[0,11,29]  ;  47  ;  352
[12,26,11]  ;  34  ;  142
[9,26,21]  ;  0  ;  0
[7,16,12]  ;  0  ;  0
[8,28,18]  ;  43  ;  441
[14,24,26]  ;  37  ;  138
[28,7,23]  ;  32  ;  74
[7,4,23]  ;  0  ;  0
[6,2,7]  ;  0  ;  0
[3,15,19]  ;  0  ;  0
[23,19,15]  ;  0  ;  0
[21,24,26]  ;  0  ;  0
[20,20,23]  ;  0  ;  0
[12,10,25]  ;  18  ;  18
[6,24,18]  ;  18  ;  14
[24,15,25]  ;  35  ;  160
[0,18,26]  ;  45  ;  480
[3,21,25]  ;  0  ;  0
[18,1,9]  ;  0  ;  0
[18,28,27]  ;  0  ;  0
[7,3,24]  ;  0  ;  0
[26,23,13]  ;  18  ;  15
[10,8,26]  ;  0  ;  0
[19,19,6]  ;  0  ;  0
[15,0,9]  ;  0  ;  0
[14,11,19]  ;  19  ;  21
[2,22,16]  ;  0  ;  0
[22,10,20]  ;  25  ;  13
[7,10,23]  ;  0  ;  0
[20,2,14]  ;  0  ;  0
[5,8,10]  ;  41  ;  273
[8,26,23]  ;  25  ;  34
[26,16,10]  ;  0  ;  0
[12,12,29]  ;  0  ;  0
[21,16,9]  ;  19  ;  19
[23,29,16]  ;  39  ;  77
[20,13,2]  ;  0  ;  0
[26,23,24]  ;  47  ;  410
[11,10,19]  ;  0  ;  0
[19,2,19]  ;  0  ;  0
[11,7,19]  ;  14  ;  11
[13,29,18]  ;  26  ;  34
[29,28,1]  ;  24  ;  23
[0,24,21]  ;  0  ;  0
[26,23,25]  ;  35  ;  210
[29,24,10]  ;  0  ;  0
[29,19,23]  ;  43  ;  429
[5,11,16]  ;  28  ;  38
[27,3,2]  ;  11  ;  2
[9,6,23]  ;  0  ;  0
[4,10,25]  ;  0  ;  0
[16,18,11]  ;  35  ;  130
[26,15,24]  ;  26  ;  65
[14,16,15]  ;  0  ;  0
[3,23,22]  ;  0  ;  0
[16,14,1]  ;  53  ;  509
[18,21,13]  ;  20  ;  18
[4,25,22]  ;  41  ;  343
[9,15,3]  ;  46  ;  420
[27,1,4]  ;  0  ;  0
[14,1,12]  ;  39  ;  149
[20,11,22]  ;  0  ;  0
[7,27,4]  ;  0  ;  0
[28,5,25]  ;  32  ;  56
[2,21,24]  ;  0  ;  0
[8,29,5]  ;  0  ;  0
[0,3,20]  ;  0  ;  0
[4,13,11]  ;  0  ;  0
[4,5,28]  ;  0  ;  0
[4,9,1]  ;  0  ;  0
[21,7,2]  ;  45  ;  261
[28,25,9]  ;  0  ;  0
[9,7,5]  ;  0  ;  0
[19,4,19]  ;  0  ;  0
[4,15,16]  ;  16  ;  10
[7,13,12]  ;  0  ;  0
[14,12,21]  ;  10  ;  2
[8,6,19]  ;  0  ;  0
[5,14,29]  ;  0  ;  0
[28,2,1]  ;  0  ;  0
[8,7,13]  ;  0  ;  0
[19,6,20]  ;  8  ;  3
[18,10,8]  ;  29  ;  91
[0,4,13]  ;  23  ;  18
[2,3,7]  ;  61  ;  1418
[27,13,8]  ;  28  ;  69
[8,27,28]  ;  45  ;  564
[29,19,19]  ;  24  ;  46
[28,16,2]  ;  27  ;  54
[21,27,16]  ;  0  ;  0
[3,29,4]  ;  30  ;  50
[13,28,29]  ;  17  ;  6
[23,15,17]  ;  0  ;  0
[5,16,15]  ;  9  ;  2
[2,2,18]  ;  0  ;  0
[13,26,8]  ;  22  ;  39
[27,16,13]  ;  0  ;  0
[0,6,7]  ;  0  ;  0
[0,20,5]  ;  0  ;  0
[2,21,28]  ;  27  ;  63
[6,17,3]  ;  0  ;  0
[28,6,19]  ;  31  ;  108
[25,5,3]  ;  0  ;  0
[17,12,9]  ;  0  ;  0
[7,29,18]  ;  50  ;  636
[1,15,7]  ;  30  ;  126
[6,10,15]  ;  29  ;  129
[17,9,21]  ;  0  ;  0
[11,25,4]  ;  23  ;  41
[27,25,26]  ;  36  ;  252
[2,4,29]  ;  0  ;  0
[5,9,5]  ;  0  ;  0
[20,14,16]  ;  0  ;  0
[11,4,29]  ;  0  ;  0
[28,11,12]  ;  17  ;  14
[18,4,28]  ;  0  ;  0
[0,11,28]  ;  0  ;  0
[20,15,6]  ;  31  ;  94
[10,19,11]  ;  0  ;  0
[14,24,22]  ;  17  ;  14
[29,14,8]  ;  0  ;  0
[0,6,19]  ;  0  ;  0
[23,1,3]  ;  34  ;  111
[21,2,8]  ;  34  ;  87
[8,2,18]  ;  0  ;  0
[29,19,25]  ;  25  ;  46
[13,9,4]  ;  26  ;  69
[27,28,20]  ;  40  ;  285
[14,12,5]  ;  0  ;  0
[24,23,25]  ;  43  ;  203
[13,2,23]  ;  26  ;  47
[10,18,22]  ;  27  ;  65
[16,3,5]  ;  0  ;  0
[8,10,14]  ;  6  ;  1
[28,15,1]  ;  0  ;  0
[15,3,24]  ;  31  ;  105
[14,15,2]  ;  0  ;  0
[21,8,1]  ;  33  ;  173
[17,27,6]  ;  23  ;  27
[17,13,3]  ;  20  ;  18
[29,26,8]  ;  0  ;  0
[27,17,16]  ;  0  ;  0
[8,25,15]  ;  0  ;  0
[22,14,15]  ;  26  ;  87
[22,22,22]  ;  0  ;  0
[2,9,22]  ;  0  ;  0
[17,4,25]  ;  17  ;  9
[7,27,0]  ;  43  ;  257
[13,13,26]  ;  0  ;  0
[29,7,27]  ;  0  ;  0
[19,29,8]  ;  0  ;  0
[8,18,16]  ;  0  ;  0
[5,12,22]  ;  0  ;  0
[22,18,29]  ;  0  ;  0
[5,0,3]  ;  0  ;  0
[26,18,26]  ;  40  ;  298
[0,4,27]  ;  0  ;  0
[3,23,1]  ;  30  ;  42
[22,8,9]  ;  0  ;  0
[1,24,12]  ;  0  ;  0
[27,22,14]  ;  20  ;  13
[15,18,6]  ;  25  ;  58
[17,0,6]  ;  0  ;  0
[18,6,21]  ;  0  ;  0
[6,27,22]  ;  0  ;  0
[20,3,23]  ;  51  ;  448
[11,7,26]  ;  14  ;  3
[22,16,18]  ;  0  ;  0
[9,7,6]  ;  0  ;  0
[4,11,4]  ;  0  ;  0
[19,17,24]  ;  0  ;  0
[17,27,20]  ;  0  ;  0
[8,23,8]  ;  0  ;  0
[14,2,27]  ;  39  ;  207
[2,23,0]  ;  0  ;  0
[25,22,7]  ;  0  ;  0
[11,12,9]  ;  0  ;  0
[7,18,12]  ;  12  ;  2
[6,6,4]  ;  13  ;  10
[22,8,21]  ;  0  ;  0
[0,22,8]  ;  0  ;  0
[20,22,9]  ;  0  ;  0
[28,19,29]  ;  43  ;  327
[10,2,18]  ;  54  ;  757
[1,9,21]  ;  0  ;  0
[10,10,21]  ;  28  ;  70
[6,5,25]  ;  0  ;  0
[21,12,27]  ;  0  ;  0
[2,1,14]  ;  0  ;  0
[11,11,5]  ;  31  ;  97
[20,10,17]  ;  0  ;  0
[16,12,12]  ;  13  ;  3
[20,6,9]  ;  13  ;  8
[6,28,6]  ;  0  ;  0
[19,18,24]  ;  0  ;  0
[0,23,23]  ;  35  ;  213
[29,12,2]  ;  24  ;  22
[1,20,24]  ;  52  ;  323
[18,28,26]  ;  44  ;  376
[3,29,23]  ;  0  ;  0
[29,18,13]  ;  23  ;  45
[19,26,9]  ;  0  ;  0
[8,3,10]  ;  44  ;  317
[18,6,18]  ;  0  ;  0
[19,6,19]  ;  55  ;  812
[22,22,17]  ;  0  ;  0
[27,8,21]  ;  0  ;  0
[23,13,20]  ;  29  ;  114
[17,26,20]  ;  29  ;  130
[10,11,2]  ;  0  ;  0
[14,15,28]  ;  0  ;  0
[9,21,25]  ;  0  ;  0
[13,6,2]  ;  0  ;  0
[29,1,10]  ;  0  ;  0
[12,27,4]  ;  0  ;  0
[10,11,13]  ;  13  ;  5
[2,5,20]  ;  25  ;  52
[19,27,9]  ;  0  ;  0
[14,16,7]  ;  0  ;  0
[2,13,1]  ;  0  ;  0
[29,22,18]  ;  0  ;  0
[17,14,20]  ;  0  ;  0
[0,15,2]  ;  28  ;  59
[16,0,17]  ;  0  ;  0
[20,13,22]  ;  0  ;  0
[8,2,6]  ;  0  ;  0
[19,13,14]  ;  0  ;  0
[23,10,28]  ;  61  ;  1149
[2,3,24]  ;  50  ;  436
[16,8,3]  ;  0  ;  0
[12,12,23]  ;  0  ;  0
[19,13,3]  ;  0  ;  0
[5,5,6]  ;  20  ;  30
[17,11,15]  ;  0  ;  0
[29,19,6]  ;  0  ;  0
[3,8,3]  ;  49  ;  742
[3,16,8]  ;  22  ;  28
[25,7,12]  ;  0  ;  0
[22,1,17]  ;  45  ;  336
[26,0,28]  ;  16  ;  11
[8,17,4]  ;  0  ;  0
[2,15,25]  ;  0  ;  0
[14,18,20]  ;  15  ;  6
[0,10,13]  ;  42  ;  208
[14,5,12]  ;  0  ;  0
[8,2,16]  ;  0  ;  0
[19,9,0]  ;  0  ;  0
[29,24,2]  ;  30  ;  97
[28,17,17]  ;  0  ;  0
[24,9,15]  ;  15  ;  10
[23,29,26]  ;  0  ;  0
[18,0,17]  ;  15  ;  5
[4,7,7]  ;  54  ;  985
[1,9,11]  ;  0  ;  0
[27,23,21]  ;  0  ;  0
[10,28,17]  ;  50  ;  350
[9,15,22]  ;  20  ;  31
[18,13,22]  ;  0  ;  0
[26,26,15]  ;  0  ;  0
[27,11,3]  ;  40  ;  283
[15,24,19]  ;  0  ;  0
[28,9,21]  ;  0  ;  0
[11,10,26]  ;  40  ;  214
[9,12,22]  ;  0  ;  0
[26,24,28]  ;  63  ;  1389
[4,11,22]  ;  37  ;  204
[20,29,10]  ;  44  ;  323
[25,14,15]  ;  0  ;  0
[26,19,29]  ;  56  ;  1177
[26,21,7]  ;  37  ;  162
[2,22,12]  ;  0  ;  0
[11,7,23]  ;  22  ;  44
[23,14,18]  ;  0  ;  0
[17,12,22]  ;  0  ;  0
[29,17,23]  ;  0  ;  0
[1,2,22]  ;  48  ;  302
[19,7,0]  ;  0  ;  0
[4,29,28]  ;  0  ;  0
[22,26,3]  ;  16  ;  17
[1,14,7]  ;  0  ;  0
[25,25,27]  ;  32  ;  56
[3,18,14]  ;  0  ;  0
[4,19,9]  ;  13  ;  5
[16,9,27]  ;  0  ;  0
[20,4,1]  ;  0  ;  0
[9,16,8]  ;  0  ;  0
[7,7,9]  ;  0  ;  0
[11,21,12]  ;  0  ;  0
[23,19,2]  ;  0  ;  0
[8,29,13]  ;  0  ;  0
[21,9,16]  ;  31  ;  85
[20,29,7]  ;  22  ;  27
[28,13,10]  ;  0  ;  0
[12,27,14]  ;  58  ;  570
[7,28,28]  ;  0  ;  0
[9,25,1]  ;  0  ;  0
[28,16,5]  ;  41  ;  170
[21,4,22]  ;  0  ;  0
[9,27,25]  ;  17  ;  10
[19,1,8]  ;  0  ;  0
[5,25,0]  ;  0  ;  0
[2,13,17]  ;  20  ;  36
[28,18,23]  ;  13  ;  7
[20,27,13]  ;  0  ;  0
[25,21,20]  ;  0  ;  0
[22,12,2]  ;  31  ;  84
[18,13,3]  ;  18  ;  15
[15,16,13]  ;  19  ;  37
[9,11,2]  ;  41  ;  361
[9,0,0]  ;  0  ;  0
[20,9,5]  ;  20  ;  21
[4,21,10]  ;  0  ;  0
[27,9,19]  ;  0  ;  0
[24,12,22]  ;  33  ;  112
[3,5,1]  ;  26  ;  56
[21,28,10]  ;  40  ;  199
[10,19,15]  ;  34  ;  188
[12,22,26]  ;  0  ;  0
[7,25,18]  ;  0  ;  0
[3,1,21]  ;  57  ;  878
[2,1,29]  ;  22  ;  35
[5,7,27]  ;  0  ;  0
[24,14,21]  ;  43  ;  496
[20,1,13]  ;  0  ;  0
[5,27,12]  ;  57  ;  768
[1,11,11]  ;  0  ;  0
[16,24,10]  ;  6  ;  0
[3,24,18]  ;  0  ;  0
[28,21,0]  ;  0  ;  0
[6,9,7]  ;  26  ;  66
[24,7,12]  ;  6  ;  2
[1,22,22]  ;  0  ;  0
[10,21,13]  ;  28  ;  78
[7,10,21]  ;  39  ;  261
[24,22,14]  ;  21  ;  29
[10,19,20]  ;  14  ;  6
[25,21,14]  ;  11  ;  5
[4,18,2]  ;  0  ;  0
[14,4,5]  ;  15  ;  12
[2,17,14]  ;  0  ;  0
[0,4,15]  ;  0  ;  0
[4,7,26]  ;  0  ;  0
[7,14,12]  ;  0  ;  0
[6,14,0]  ;  53  ;  631
[11,25,19]  ;  0  ;  0
[29,20,10]  ;  0  ;  0
[3,10,18]  ;  0  ;  0
[27,0,22]  ;  35  ;  125
[12,17,11]  ;  22  ;  35
[23,15,1]  ;  34  ;  132
[10,13,29]  ;  18  ;  6
[15,0,4]  ;  0  ;  0
[9,5,6]  ;  27  ;  79
[8,27,13]  ;  11  ;  5
[19,12,7]  ;  0  ;  0
[19,7,18]  ;  0  ;  0
[9,28,0]  ;  0  ;  0
[5,3,14]  ;  0  ;  0
[3,19,22]  ;  16  ;  9
[20,6,21]  ;  46  ;  474
[25,5,6]  ;  0  ;  0
[18,12,24]  ;  14  ;  9
[25,13,13]  ;  30  ;  100
[17,25,25]  ;  48  ;  466
[23,15,13]  ;  0  ;  0
[12,1,9]  ;  0  ;  0
[0,18,12]  ;  0  ;  0
[1,7,7]  ;  0  ;  0
[21,18,16]  ;  27  ;  74
[21,26,17]  ;  0  ;  0
[21,7,28]  ;  0  ;  0
[6,18,7]  ;  32  ;  62
[24,19,27]  ;  21  ;  15
[8,22,18]  ;  27  ;  53
[15,5,9]  ;  0  ;  0
[8,26,15]  ;  29  ;  62
[3,6,23]  ;  16  ;  5
[2,8,12]  ;  0  ;  0
[12,7,4]  ;  36  ;  252
[16,11,28]  ;  0  ;  0
[25,22,17]  ;  0  ;  0
[25,11,21]  ;  44  ;  184
[14,1,6]  ;  0  ;  0
[6,14,1]  ;  0  ;  0
[5,29,11]  ;  0  ;  0
[22,7,12]  ;  8  ;  3
[0,26,4]  ;  43  ;  609
[6,8,6]  ;  0  ;  0
[16,27,1]  ;  0  ;  0
[19,18,7]  ;  0  ;  0
[8,14,3]  ;  0  ;  0
[16,12,27]  ;  17  ;  16
[27,10,14]  ;  13  ;  2
[27,22,21]  ;  0  ;  0
[2,21,20]  ;  0  ;  0
[3,8,1]  ;  56  ;  878
[2,24,25]  ;  0  ;  0
[26,25,9]  ;  0  ;  0
[26,7,5]  ;  0  ;  0
[11,21,4]  ;  35  ;  150
[8,8,28]  ;  0  ;  0
[29,5,23]  ;  0  ;  0
[18,4,3]  ;  0  ;  0
[2,25,0]  ;  27  ;  32
[14,16,8]  ;  22  ;  21
[24,14,19]  ;  22  ;  26
[5,8,25]  ;  0  ;  0
[21,23,16]  ;  16  ;  14
[20,20,16]  ;  0  ;  0
[25,27,5]  ;  30  ;  98
[11,15,18]  ;  13  ;  8
[12,11,27]  ;  0  ;  0
[11,23,24]  ;  33  ;  87
[19,20,12]  ;  0  ;  0
[21,26,29]  ;  32  ;  57
[4,15,12]  ;  0  ;  0
[29,14,5]  ;  0  ;  0
[2,11,9]  ;  41  ;  323
[18,0,22]  ;  0  ;  0
[17,11,14]  ;  12  ;  15
[18,14,20]  ;  0  ;  0
[21,7,0]  ;  0  ;  0
[29,12,27]  ;  41  ;  146
[18,24,12]  ;  0  ;  0
[28,20,0]  ;  0  ;  0
[24,3,14]  ;  32  ;  76
[15,19,13]  ;  6  ;  0
[19,22,9]  ;  18  ;  10
[12,22,27]  ;  16  ;  10
[29,29,21]  ;  0  ;  0
[4,23,21]  ;  0  ;  0
[26,5,0]  ;  0  ;  0
[29,12,9]  ;  0  ;  0
[2,6,2]  ;  41  ;  308
[8,11,4]  ;  23  ;  25
[22,11,0]  ;  0  ;  0
[26,25,21]  ;  32  ;  156
[28,3,8]  ;  0  ;  0
[28,15,13]  ;  29  ;  88
[11,20,12]  ;  0  ;  0
[9,6,1]  ;  38  ;  179
[4,3,5]  ;  51  ;  951
[23,25,26]  ;  6  ;  1
[2,22,0]  ;  32  ;  82
[19,15,16]  ;  0  ;  0
[3,27,5]  ;  39  ;  135
[25,3,26]  ;  29  ;  54
[18,28,1]  ;  0  ;  0
[19,5,5]  ;  0  ;  0
[1,7,0]  ;  31  ;  94
[3,19,23]  ;  0  ;  0
[1,5,12]  ;  26  ;  46
[9,18,12]  ;  0  ;  0
[17,7,10]  ;  27  ;  72
[26,25,10]  ;  0  ;  0
[4,9,7]  ;  46  ;  278
[19,19,19]  ;  0  ;  0
[23,22,16]  ;  0  ;  0
[27,7,5]  ;  0  ;  0
[17,28,12]  ;  24  ;  24
[17,19,4]  ;  36  ;  147
[0,10,4]  ;  0  ;  0
[17,17,24]  ;  0  ;  0
[14,20,21]  ;  0  ;  0
[5,27,15]  ;  35  ;  78
[9,19,4]  ;  0  ;  0
[21,10,5]  ;  0  ;  0
[3,11,22]  ;  0  ;  0
[12,13,2]  ;  37  ;  203
[9,29,17]  ;  0  ;  0
[12,27,25]  ;  0  ;  0
[27,2,8]  ;  0  ;  0
[6,17,10]  ;  19  ;  19
[27,19,11]  ;  38  ;  179
[28,15,7]  ;  35  ;  125
[17,6,17]  ;  27  ;  26
[17,10,5]  ;  29  ;  79
[19,22,3]  ;  0  ;  0
[18,24,5]  ;  29  ;  73
[28,18,4]  ;  33  ;  62
[29,25,3]  ;  44  ;  205
[12,22,8]  ;  0  ;  0
[0,27,17]  ;  0  ;  0
[14,7,21]  ;  0  ;  0
[11,1,4]  ;  0  ;  0
[11,3,14]  ;  31  ;  61
[28,14,29]  ;  0  ;  0
[15,21,21]  ;  0  ;  0
[21,15,9]  ;  27  ;  57
[9,10,28]  ;  0  ;  0
[26,5,14]  ;  7  ;  1
[25,8,13]  ;  0  ;  0
[18,28,4]  ;  0  ;  0
[2,27,3]  ;  0  ;  0
[27,26,3]  ;  0  ;  0
[6,10,17]  ;  27  ;  60
[19,14,8]  ;  0  ;  0
[6,7,22]  ;  44  ;  394
[2,15,9]  ;  0  ;  0
[22,26,29]  ;  28  ;  51
[12,15,26]  ;  0  ;  0
[17,14,4]  ;  21  ;  19
[21,5,13]  ;  0  ;  0
[13,14,22]  ;  0  ;  0
[6,4,25]  ;  26  ;  93
[8,27,17]  ;  12  ;  2
[3,16,0]  ;  34  ;  158
[20,14,6]  ;  29  ;  81
[29,23,27]  ;  0  ;  0
[17,14,28]  ;  23  ;  33
[3,11,19]  ;  0  ;  0
[27,17,19]  ;  28  ;  59
[27,10,21]  ;  0  ;  0
[7,13,23]  ;  0  ;  0
[21,2,2]  ;  59  ;  1200
[3,5,12]  ;  0  ;  0
[3,1,13]  ;  0  ;  0
[14,7,15]  ;  26  ;  80
[28,23,7]  ;  0  ;  0
