------ Execution Data ------ 

Tamanho do Cubo: 30x30x30
N° de Células: 27000
Células Bloqueadas: 8100 (30%)
Número de Rotas (Start- Goal): 8000

 Block   ;G(n) ;Tempo (ms) 
[18,5,22]  ;  28  ;  848
[9,8,19]  ;  0  ;  0
[10,26,11]  ;  0  ;  0
[6,24,29]  ;  28  ;  90
[19,0,4]  ;  23  ;  82
[16,15,1]  ;  0  ;  0
[1,28,27]  ;  43  ;  348
[25,21,9]  ;  41  ;  401
[21,17,9]  ;  6  ;  1
[14,22,18]  ;  0  ;  0
[8,12,11]  ;  14  ;  11
[11,20,24]  ;  0  ;  0
[29,28,28]  ;  50  ;  397
[25,13,28]  ;  21  ;  26
[8,2,10]  ;  42  ;  268
[6,21,1]  ;  11  ;  6
[23,19,22]  ;  33  ;  84
[9,28,26]  ;  0  ;  0
[22,28,9]  ;  44  ;  454
[2,18,17]  ;  0  ;  0
[29,27,3]  ;  0  ;  0
[23,14,17]  ;  0  ;  0
[4,19,27]  ;  25  ;  38
[1,0,16]  ;  0  ;  0
[15,28,3]  ;  0  ;  0
[6,10,28]  ;  23  ;  35
[0,22,16]  ;  0  ;  0
[19,12,20]  ;  0  ;  0
[20,9,1]  ;  25  ;  36
[24,15,3]  ;  20  ;  23
[29,3,1]  ;  53  ;  415
[13,25,2]  ;  0  ;  0
[14,23,9]  ;  15  ;  18
[11,29,22]  ;  0  ;  0
[21,2,7]  ;  15  ;  11
[0,10,0]  ;  45  ;  600
[12,14,19]  ;  42  ;  314
[21,28,25]  ;  0  ;  0
[16,22,6]  ;  25  ;  51
[17,19,17]  ;  22  ;  34
[5,2,19]  ;  0  ;  0
[28,13,8]  ;  0  ;  0
[16,27,9]  ;  0  ;  0
[6,28,10]  ;  13  ;  6
[3,12,29]  ;  25  ;  56
[8,9,9]  ;  0  ;  0
[21,29,19]  ;  28  ;  38
[19,18,25]  ;  0  ;  0
[17,21,4]  ;  27  ;  35
[11,6,15]  ;  20  ;  32
[0,4,20]  ;  0  ;  0
[12,5,23]  ;  20  ;  16
[24,6,13]  ;  0  ;  0
[16,3,17]  ;  35  ;  173
[8,26,8]  ;  38  ;  190
[22,4,18]  ;  0  ;  0
[18,22,17]  ;  0  ;  0
[26,26,16]  ;  0  ;  0
[28,22,7]  ;  48  ;  371
[11,5,7]  ;  34  ;  160
[28,18,3]  ;  18  ;  14
[9,19,24]  ;  48  ;  781
[27,20,23]  ;  0  ;  0
[5,26,17]  ;  0  ;  0
[17,18,23]  ;  38  ;  234
[13,20,24]  ;  23  ;  48
[7,21,17]  ;  34  ;  190
[5,22,22]  ;  0  ;  0
[18,12,12]  ;  0  ;  0
[27,13,18]  ;  23  ;  33
[11,3,10]  ;  0  ;  0
[9,28,16]  ;  0  ;  0
[13,8,1]  ;  0  ;  0
[3,16,20]  ;  19  ;  23
[7,14,11]  ;  0  ;  0
[12,22,2]  ;  27  ;  23
[29,12,19]  ;  12  ;  4
[17,4,6]  ;  44  ;  423
[1,2,13]  ;  41  ;  226
[6,21,24]  ;  0  ;  0
[8,4,14]  ;  21  ;  20
[7,13,26]  ;  0  ;  0
[4,5,5]  ;  12  ;  7
[27,6,4]  ;  0  ;  0
[4,19,8]  ;  0  ;  0
[2,29,11]  ;  51  ;  603
[1,20,27]  ;  0  ;  0
[22,12,12]  ;  32  ;  132
[14,17,10]  ;  16  ;  19
[0,9,1]  ;  47  ;  348
[7,4,22]  ;  0  ;  0
[28,7,11]  ;  28  ;  43
[9,14,16]  ;  0  ;  0
[10,16,5]  ;  0  ;  0
[2,20,12]  ;  0  ;  0
[3,26,11]  ;  23  ;  53
[7,10,9]  ;  0  ;  0
[3,11,13]  ;  0  ;  0
[26,25,8]  ;  26  ;  46
[7,9,13]  ;  23  ;  23
[0,5,10]  ;  41  ;  297
[27,16,16]  ;  0  ;  0
[26,4,8]  ;  28  ;  41
[24,8,26]  ;  46  ;  327
[13,3,2]  ;  27  ;  43
[3,4,28]  ;  0  ;  0
[24,27,29]  ;  0  ;  0
[17,0,24]  ;  0  ;  0
[15,3,11]  ;  0  ;  0
[3,17,25]  ;  0  ;  0
[14,14,4]  ;  34  ;  213
[9,29,6]  ;  49  ;  464
[19,28,25]  ;  0  ;  0
[1,3,26]  ;  0  ;  0
[3,19,21]  ;  55  ;  838
[5,29,7]  ;  0  ;  0
[23,20,22]  ;  34  ;  181
[22,16,2]  ;  29  ;  94
[19,10,10]  ;  36  ;  214
[25,24,2]  ;  55  ;  1170
[25,11,20]  ;  0  ;  0
[8,7,27]  ;  32  ;  56
[26,0,23]  ;  30  ;  20
[11,18,24]  ;  0  ;  0
[28,11,18]  ;  0  ;  0
[12,21,5]  ;  19  ;  21
[27,25,17]  ;  39  ;  332
[27,18,17]  ;  17  ;  10
[3,29,12]  ;  0  ;  0
[1,26,22]  ;  0  ;  0
[0,4,2]  ;  37  ;  225
[1,5,16]  ;  0  ;  0
[16,6,29]  ;  0  ;  0
[0,15,27]  ;  0  ;  0
[20,21,14]  ;  44  ;  391
[3,7,27]  ;  37  ;  242
[17,21,14]  ;  0  ;  0
[0,20,13]  ;  0  ;  0
[27,2,13]  ;  20  ;  9
[13,23,6]  ;  0  ;  0
[12,12,10]  ;  0  ;  0
[9,12,8]  ;  11  ;  6
[17,3,26]  ;  0  ;  0
[17,17,16]  ;  0  ;  0
[28,13,13]  ;  0  ;  0
[12,8,5]  ;  0  ;  0
[15,10,6]  ;  36  ;  113
[25,22,20]  ;  44  ;  252
[24,5,4]  ;  0  ;  0
[7,26,26]  ;  0  ;  0
[10,24,15]  ;  0  ;  0
[22,14,2]  ;  30  ;  76
[20,20,9]  ;  18  ;  22
[23,11,0]  ;  0  ;  0
[18,14,24]  ;  47  ;  404
[5,23,0]  ;  33  ;  42
[16,8,26]  ;  27  ;  39
[0,4,25]  ;  0  ;  0
[28,9,1]  ;  0  ;  0
[2,16,21]  ;  0  ;  0
[0,17,5]  ;  0  ;  0
[10,29,11]  ;  35  ;  113
[6,0,5]  ;  42  ;  440
[13,20,1]  ;  0  ;  0
[12,19,25]  ;  0  ;  0
[23,10,16]  ;  27  ;  70
[17,12,2]  ;  0  ;  0
[2,13,3]  ;  50  ;  654
[24,8,1]  ;  22  ;  23
[23,22,5]  ;  0  ;  0
[29,3,7]  ;  11  ;  4
[21,20,18]  ;  20  ;  20
[15,9,28]  ;  36  ;  297
[1,6,28]  ;  0  ;  0
[3,9,29]  ;  56  ;  1102
[5,3,0]  ;  0  ;  0
[3,5,18]  ;  0  ;  0
[9,14,19]  ;  0  ;  0
[7,15,12]  ;  18  ;  7
[0,15,1]  ;  16  ;  9
[28,28,26]  ;  41  ;  85
[7,3,15]  ;  38  ;  149
[29,28,15]  ;  0  ;  0
[0,6,8]  ;  0  ;  0
[2,29,15]  ;  0  ;  0
[8,27,3]  ;  0  ;  0
[2,21,17]  ;  0  ;  0
